ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
7.187800,296,0.165278,-2.016652,-1.087190,0.005068,1.358501,-0.145777
7.210276,297,-0.264875,-1.039798,-0.923147,0.036685,1.286031,-0.158047
7.232292,298,-1.116610,-1.096591,-0.549287,0.098305,1.185100,-0.146714
7.254910,299,-0.565066,-0.487745,-0.028654,0.129016,1.043279,-0.241599
7.277672,300,0.545323,0.224653,0.454532,0.147433,0.956120,-0.347364
7.299095,301,0.727801,0.840284,0.824397,0.143695,0.956533,-0.364655
7.321572,302,0.293136,0.110682,0.823450,0.127191,0.978773,-0.315834
7.343641,303,-0.077317,-0.325725,0.967291,0.125600,0.968776,-0.308756
7.366579,304,0.365031,-0.276346,1.037163,0.146867,0.944000,-0.343414
7.388980,305,0.312816,-0.630594,1.384383,0.177690,0.935236,-0.375531
7.410410,306,-0.424933,-0.610308,1.666560,0.212613,0.896442,-0.402253
7.432551,307,-0.812598,-1.118033,1.680064,0.304371,0.791249,-0.406471
7.455139,308,-0.624618,-2.175813,1.389321,0.436025,0.645785,-0.453044
7.477314,309,-0.394913,-1.533508,1.433210,0.579654,0.518689,-0.457761
7.499361,310,-0.585600,-1.219219,1.803215,0.719815,0.400510,-0.384133
7.521772,311,-1.048349,-0.677003,1.505081,0.810484,0.275411,-0.325424
7.543916,312,-1.005250,0.490859,1.429571,0.823500,0.151697,-0.295055
7.566093,313,-0.589056,-0.009985,0.175276,0.798368,0.058499,-0.278113
7.588502,314,-0.365168,-0.399288,-1.133051,0.858156,-0.017244,-0.252230
7.610538,315,-0.494312,0.596398,-1.134662,0.961690,-0.068110,-0.273200
7.632746,316,-0.537412,2.652351,-0.211479,0.936639,-0.074501,-0.291204
7.655507,317,-0.402421,3.185302,-0.329283,0.778547,-0.041164,-0.341268
7.677679,318,-0.375857,3.784404,0.112239,0.519741,0.022956,-0.410200
7.699571,319,-0.155733,2.110166,-0.263250,0.237010,0.102781,-0.367158
7.721756,320,-0.763097,-0.329532,-1.244610,0.067869,0.138845,-0.245771
7.744049,321,-1.086033,-0.433626,-1.155142,0.043350,0.093006,-0.182846
7.767057,322,-0.850963,0.861586,-0.666986,0.018358,0.016719,-0.218267
7.788746,323,-0.189511,1.420290,-0.039407,-0.084395,-0.012453,-0.236234
